Cargo,Nome da Empresa,Local,Link para a Vaga
Analista de Performance Jr,DELFOS SERVICOS INTELIGENTES LTDA,"Home office in Fortaleza, CE",https://br.indeed.com/rc/clk?jk=d154ada90b1dca96&bb=MVVPqTZ9ZPpGz9Z0mZy_TVWj37OTq3ckXhYHnuA3e9uHlpkfE2nzO-ciubVeRFpFHBup0f5kw6lqenOmMOkYUNyYg5GVgw6uewhQaApUjTWousbPwfWWAg%3D%3D&xkcb=SoAY67M3CTYlRNTRgh0MbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Analista de Risco de Crédito Jr,Grupo Carrefour Brasil,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=ad4fa139c1bcda7c&bb=MVVPqTZ9ZPpGz9Z0mZy_TUquv4s8IrOlk7g9mNUGkB1QX3X65s0T4X3h0lP4KSwHdITOlhBh-LaCZ8c3x3bnFAHlginS8SQXE98IzEhukGT_ZuqGzbVGgoLPb1Ao3b31&xkcb=SoDx67M3CTYlRNTRgh0DbzkdCdPP&fccid=669350d87ae4a4a6&vjs=3
Tech Leader de Dados,Asaas,,https://br.indeed.com/rc/clk?jk=da227ff8f8f569c4&bb=MVVPqTZ9ZPpGz9Z0mZy_TcFU3Nz-L9dxRU5wrYRcO62yfqfmA0IUJODLLu58cWZ1ogx6aOAsRFIMkyTLIh6PDVxexu1hCTgbbqulHqk3bPV8NQ4d6aoV1g%3D%3D&xkcb=SoBF67M3CTYlRNTRgh0CbzkdCdPP&fccid=2cb68576e9f355b8&vjs=3
Pessoa Desenvolvedora Back-end Pleno Python (Remoto),GeekHunter,"Home office in Curitiba, PR",https://br.indeed.com/rc/clk?jk=abb1939a8dde17bc&bb=MVVPqTZ9ZPpGz9Z0mZy_TS7s_sF-oYm-vdEDSxkZtUoIpidNaDfaT0mNcG4OT-8h2IzIOlYHfxYxZvxRrKocjgJcM4azXgw8K3WUuGIJArYgDuYopEMRyQ%3D%3D&xkcb=SoDY67M3CTYlRNTRgh0BbzkdCdPP&fccid=9ba8dec3013c0c90&vjs=3
Software Engineering II-Azure Data,Microsoft,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=ef1be582830145f1&bb=MVVPqTZ9ZPpGz9Z0mZy_TS7s_sF-oYm-4JUhR7RarGilTfpbL0NMF0XlxdiA2SjiVpeyEZNMRUxpZ37LMY4TAKu_6fq_hF4hQSbhxY04fO0%3D&xkcb=SoBs67M3CTYlRNTRgh0AbzkdCdPP&fccid=734cb5a01ee60f80&vjs=3
ANALISTA DE DADOS II,Energisa TECH,"João Pessoa, PB",https://br.indeed.com/rc/clk?jk=c9b22b107718d6a2&bb=MVVPqTZ9ZPpGz9Z0mZy_TfEDJRU8HYbxlOMuxPaHzie3nPzy-iWIXqy81X-A0j8VYz0rRjI4ZvdM-bfscuqdzf4ZJmOArctXUCIqPhE_Jsi1nGDQfY6KZw%3D%3D&xkcb=SoDi67M3CTYlRNTRgh0HbzkdCdPP&fccid=a84c9fd7dd25c6d8&vjs=3
Analista de Automação,RANDSTAD - Filial Curitiba PR,"Curitiba, PR",https://br.indeed.com/rc/clk?jk=0392431368b35595&bb=MVVPqTZ9ZPpGz9Z0mZy_TUrHbXaITINPhnTT3S9bF84XyebE7TS4YrE5QiD7cFWJJNlLCcS5PLg-caBkofuBXtbTmQ7-Wm8afmLYt2kBaHdlH8fvGG4rtQ%3D%3D&xkcb=SoBW67M3CTYlRNTRgh0GbzkdCdPP&fccid=200420bb6e59419b&vjs=3
DESENVOLVEDOR(A) DE SOFTWARE EMBARCADO,Embraer,,https://br.indeed.com/rc/clk?jk=89ffd734a60a49f8&bb=MVVPqTZ9ZPpGz9Z0mZy_TcRZ-sJCb6vD5mZux0PaqN4pLGOj-AEj3RpcRHxz9uWKBDTUKYSNrF7awdGhxRSVqilSvJqgZ8aOMT5fdBq4C8neGn4S8910rw%3D%3D&xkcb=SoDL67M3CTYlRNTRgh0FbzkdCdPP&fccid=f2a034f151ed245d&vjs=3
Analista I (Backend Developer),Experian,"Home office in São Paulo, SP",https://br.indeed.com/rc/clk?jk=62bf6a322f8abbd9&bb=dLlqOqmuzOFMFyGJa3RDmSTX7q59v7oTAiPMMzA_JBXD1oY75_RhCrQkRfjS5i8dx5QVuHoEaZTu3WuuSU1-6zOoXDqTinWnlu7x25QJFHs%3D&xkcb=SoDL67M3CTYky5QfX50LbzkdCdPP&fccid=75a3a5a15b202084&vjs=3
(ESTÁGIO) DESENVOLVEDOR WEB / JAVASCRIPT - CÓD - 70387,OEmprego,"Porto Alegre, RS",https://br.indeed.com/rc/clk?jk=502443921a4b86a8&bb=dLlqOqmuzOFMFyGJa3RDmXaIOd5dDGtKIduj9o51DwpVJNaEoHHusmiGtAii00DCbiCiW9gOSyl2w6iuuxGWM8jyfJPmGx2Z_tEeLhAehph_mGh6diIdjQ%3D%3D&xkcb=SoB_67M3CTYky5QfX50KbzkdCdPP&fccid=919b31f0a22ef58e&vjs=3
IT Developer III,Santander,"Home office in São Paulo, SP",https://br.indeed.com/rc/clk?jk=e1d9d403dbf1d68f&bb=dLlqOqmuzOFMFyGJa3RDme0bz-uq_qxTYKzSMjuSlqU_mcLcwdhv3BXVSZFkEMOqHdAnXMdS1b9i4mb5MCFrbJkckrVLTHHGjKaQFWKHLRY%3D&xkcb=SoDi67M3CTYky5QfX50JbzkdCdPP&fccid=e57a47a3d1d90e39&vjs=3
CIENTISTA DE DADOS - RIO DE JANEIRO,OEmprego,"Rio de Janeiro, RJ",https://br.indeed.com/rc/clk?jk=add9a2df5d2ba606&bb=dLlqOqmuzOFMFyGJa3RDmUzsfR6EZdhUKhDfYJu8FJPdg58kJibT9ar0kzLS0QYtJK8PmaYHzA3DHlG1Bok-Uny6OdbHODbHbRXYrPSjApQTNIWqNvX-DA%3D%3D&xkcb=SoBW67M3CTYky5QfX50IbzkdCdPP&fccid=919b31f0a22ef58e&vjs=3
Software Engineer,Bemol Digital,,https://br.indeed.com/rc/clk?jk=ad752d9b9fd62b1d&bb=dLlqOqmuzOFMFyGJa3RDmdzt3illH0GlkdVMpCr5Sh6u8-NehjOsNR7zczBZaaB6TQqDnvW7n2Ij6c7hHnxpCPnh5-MILvcQq10DVtoA0T6IkFSzEPiGPw%3D%3D&xkcb=SoDY67M3CTYky5QfX50PbzkdCdPP&fccid=4e50a5299dcb0b8e&vjs=3
Portfolio Management Spec I,Santander,"Home office in São Paulo, SP",https://br.indeed.com/rc/clk?jk=2a9f7bcbb5852bdb&bb=dLlqOqmuzOFMFyGJa3RDmWQ1sPVjbjlBmDbWECrvxALGaY-FCC7Hl6W3U7DOXmHFBOmGAS5Jj0RdVO9LfplTnkvAcOgkrAP82VDUBNRKNqw%3D&xkcb=SoBs67M3CTYky5QfX50ObzkdCdPP&fccid=e57a47a3d1d90e39&vjs=3
Desenvolvedor Full Stack - (Cópia),Tour Comercial,"Anadia, AL",https://br.indeed.com/rc/clk?jk=2453077c0abf02ce&bb=dLlqOqmuzOFMFyGJa3RDmXaIOd5dDGtKDxX_uFZaxzmOtLSA9CBTzKvuOiAdpMxeoR6rz70nrm4rPhQSjKvGST9I9Oj4lOfKIyqvs4layRyMdXpJsUd3qA%3D%3D&xkcb=SoDx67M3CTYky5QfX50NbzkdCdPP&fccid=2b3e346bf19938a6&vjs=3
ESTAGIÁRIO MACHINE LEARNING,@novarotadooeste,"Cuiabá, MT",https://br.indeed.com/rc/clk?jk=d31e086d99817366&bb=dLlqOqmuzOFMFyGJa3RDmdEh9zxqnc4MgcCENBUYdC6eKvS1BKCULPRIZ4c2t9TgNpMCoXNzdSlkO3c4vyjXZxaOyoIgTDlRlMYPwlyUQgS38hatKvsc7w%3D%3D&xkcb=SoBF67M3CTYky5QfX50MbzkdCdPP&fccid=ee12310f57404856&vjs=3
Python Data Miner Pleno,Mobiis,"Campinas, SP",https://br.indeed.com/rc/clk?jk=46d0e02133823985&bb=dLlqOqmuzOFMFyGJa3RDmbnO-08--aTFcC81cH1D6o1BkAX1aXsFajQcaMlSF67pRbcW1eBM-Avhus1UqhAKmWxgPRETI9ZWFGX0FOLUpTry3BKUiai3qg%3D%3D&xkcb=SoCs67M3CTYky5QfX50DbzkdCdPP&fccid=96a8e9c969888b1e&vjs=3
Data Product Manager,Clicksign,,https://br.indeed.com/rc/clk?jk=dd44ae1705bd2c22&bb=dLlqOqmuzOFMFyGJa3RDmZVYbHi1bmq2RlcnoA6JTbrprg3R-sjob1rDLtRgQnXLtCW1hk878aNS1ztD99fHPk8inipIqC_F4NZhIjO-_Btla0Xvu1BlLQ%3D%3D&xkcb=SoAY67M3CTYky5QfX50CbzkdCdPP&fccid=2a7d6202d5658abc&vjs=3
TÉCNICO DE AUTOMAÇÃO - PARAUAPEBAS/PA,TecWise,"Parauapebas, PA",https://br.indeed.com/rc/clk?jk=51e3311f3d4b9549&bb=dLlqOqmuzOFMFyGJa3RDmax9A0Z60nJnc4qAX3YvSUKTlMHbNyhEtsQG9251W51lxndOCPabyGx7npKkEv7DiGtQ2D9Esr9XDd9LAslLMNG7NWYoWdra0g%3D%3D&xkcb=SoCF67M3CTYky5QfX50BbzkdCdPP&fccid=5070963457e75d14&vjs=3
"Solutions Engineer, Ads",TikTok,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=f6a3fda5eb151a72&bb=dLlqOqmuzOFMFyGJa3RDmQV0croAftuLC4927JHaL2Kl4M72iwgselchuY_iSSQb8fMXclHF158tDHbK6xLGcg6wI38kf2-j9ehv-fXoue2B_oeiLHBxRQ%3D%3D&xkcb=SoAx67M3CTYky5QfX50AbzkdCdPP&fccid=caed318a9335aac0&vjs=3
Desenvolvedor(a) Web Pleno/Senior,Nossas,,https://br.indeed.com/rc/clk?jk=de866fdd104ded1f&bb=dLlqOqmuzOFMFyGJa3RDmSplRhyCexN1TkEXSbDyJWVrhc_183nErXER0B6IFSkRXw7yhrFq07rKx_MR2WOlo-sn6aqH1ZDg8A8mIWEGYp98wNqU6Wsi1g%3D%3D&xkcb=SoC_67M3CTYky5QfX50HbzkdCdPP&fccid=8877f12c7ab363cf&vjs=3
Analista de dados pleno,Netvagas,,https://br.indeed.com/rc/clk?jk=4a17de6f371411f3&bb=dLlqOqmuzOFMFyGJa3RDmSZ7E6IcLEMMb3PuVXelsK9ZvzCFr6ZfvQvZ0sCFqCoCR8WMnNwIdyVerOVE_DO9NpmvQZejas_2VgSalGfFTpAG8n8Fkk4IOw%3D%3D&xkcb=SoAL67M3CTYky5QfX50GbzkdCdPP&fccid=248e71f02a698bfc&vjs=3
SQL Developer - REMOTE WORK,BairesDev,"Home office in Brasília, DF",https://br.indeed.com/rc/clk?jk=8d919b8dc9ba5f5c&bb=dLlqOqmuzOFMFyGJa3RDmXiUuBycWAg2187bLu4EMpcRh4xCPWs8q9N7OxNqNjGnAjPUD-1WYZ6vdDFh3ny9SkUuhDvBjZwdPaJdYiOhexG8-qTEDG3QWw%3D%3D&xkcb=SoCW67M3CTYky5QfX50FbzkdCdPP&fccid=29707109e86166e5&vjs=3
Desenvolvedor Tech Lead,Consultoria Contato,"Florianópolis, SC",https://br.indeed.com/rc/clk?jk=abf98643ffe03906&bb=NYUxvkHvN6wLyk20SsaWawqohGT-3lWkoRWintSYrfr4H1GHSnud1UvXA0T0z8L6VNCeKyWjRWIbgw-YAp9ETOsMUvNyDtPCIlZyCmBuCJxqKenA2-ydRw%3D%3D&xkcb=SoAa67M3CTYkrRTRgh0LbzkdCdPP&fccid=fe3242abbf7f5ff9&vjs=3
Cientista de Dados Sênior,Neogrid Carreiras,,https://br.indeed.com/rc/clk?jk=0ee83a07d07290d7&bb=NYUxvkHvN6wLyk20SsaWa86TDzC4tsSGXaWq7yq3-Ii9kgJLN4RIv1uJnhxZLO-6tMPzcVYl5QM7mipzGulopUVp19jQFepkseXECwlwVFvGpv-kKLtNqA%3D%3D&xkcb=SoCu67M3CTYkrRTRgh0KbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Estagio Nível Superior (333988),Centro Nacional de Pesquisa em Energia e Materiais,"Campinas, SP",https://br.indeed.com/rc/clk?jk=2edcd49f49cd0b1f&bb=NYUxvkHvN6wLyk20SsaWa6NQOzrNiHLxPhPPAvg6NgRY_gsBovNSr6kWGW9ggl9sWW2sWWrZN86S6qp96EsUAWCOcyS49Zg_bT8y6MEAeqDFGHLIBZd5rA%3D%3D&xkcb=SoAz67M3CTYkrRTRgh0JbzkdCdPP&fccid=4b7fba9b606f4517&vjs=3
Engenheiro de Dados,Checklist Fácil,,https://br.indeed.com/rc/clk?jk=f024cabea68ed682&bb=NYUxvkHvN6wLyk20SsaWa8cQ_7lWdZHb7IaO83USI77t7KGEFTKpbIaKqNFzDUg3JUJSm8wU8O9t0IHfxVxug-xqQFCON_ZS7IZrTGjH4CKjiTMr9AoW3Q%3D%3D&xkcb=SoCH67M3CTYkrRTRgh0IbzkdCdPP&fccid=246e0e5d3e08caf5&vjs=3
Analista de Sistemas Pleno,Tennisbar,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=30aa3420ef823874&bb=NYUxvkHvN6wLyk20SsaWa5wH3tSDMtcBSxI8SgJ7omqUt3pEbHBWgEuIdcBmV_ZugXhVMbuBA3G3R3LbsSJzn1_4sX-GqSERdxmosFfsZCmCdwOGfjQe4Q%3D%3D&xkcb=SoAJ67M3CTYkrRTRgh0PbzkdCdPP&fccid=65de707066950069&vjs=3
Analista de Dados,ACIF - Associação Comercial e Industrial de...,"Florianópolis, SC",https://br.indeed.com/rc/clk?jk=56a8511df724598c&bb=NYUxvkHvN6wLyk20SsaWa1K4VG875O4IwE8nyqxVz2kskleyuOkaZgZP7aLFtC8s1r_Ts6J4WVoIOlHCztQUtx5D2hGZ_NnQG1sTHZ3b0HLdPl_uNTnp2Q%3D%3D&xkcb=SoAg67M3CTYkrRTRgh0NbzkdCdPP&fccid=78aacd8a59f7d783&vjs=3
Consultor de BI,Account Manager Jr,,https://br.indeed.com/rc/clk?jk=6a221e442461ec5f&bb=NYUxvkHvN6wLyk20SsaWa1m8tL9JVrwfvGBN4lQu8bv6i5YLZaXIhggqFADO-qp3m0pzc254UyS17Sm0xeQBfUglLYBuTlT5LdqQtL6eqhG3IKIGEtSXjA%3D%3D&xkcb=SoCU67M3CTYkrRTRgh0MbzkdCdPP&fccid=53d12ccf3f235f26&vjs=3
Engenheiro de Dados,Eng4tech,,https://br.indeed.com/rc/clk?jk=55fe295845113ed5&bb=NYUxvkHvN6wLyk20SsaWa1m8tL9JVrwfJvs_KRGh-eRLoUNrvSTqhOAIenUdb1lYf8GS-7H7LEbryzwH2204sAMSQEjGn7kTsD8B5yGQhRLIEiWixvwk3Q%3D%3D&xkcb=SoB967M3CTYkrRTRgh0DbzkdCdPP&fccid=49a31a7afbb91a23&vjs=3
Programador,RANDSTAD - Filial Campinas SP,"Osasco, SP",https://br.indeed.com/rc/clk?jk=ad2dfd8852d57bd6&bb=NYUxvkHvN6wLyk20SsaWa5wg88t_6PXfMe14HTqW_0-SaGCvVy8CIoyjK3DEIndQ3zbrCwpkwIKZji4EAqquq1dAGOZt8Fsjy5Bb5hmi0kk3pnPXe3qfog%3D%3D&xkcb=SoDJ67M3CTYkrRTRgh0CbzkdCdPP&fccid=6a81fa55a305120a&vjs=3
QA Engineer,Fusemachines,,https://br.indeed.com/rc/clk?jk=efc4023563cfadab&bb=NYUxvkHvN6wLyk20SsaWa8r8a-5oxwDVrMw0xhuyV4B2u1Vry_gaNTck--yVs2m0dReesDjMdhcg9jvY3lkCutJhFmZLHV7kuccubKeM2yM%3D&xkcb=SoBU67M3CTYkrRTRgh0BbzkdCdPP&fccid=b711a2a28448b767&vjs=3
Desenvolvedor de ChatBot,PROA.AI,"Remoto híbrido in São Paulo, SP",https://br.indeed.com/rc/clk?jk=473c855bace91d16&bb=NYUxvkHvN6wLyk20SsaWa8r8a-5oxwDVvO-rnAvhGvJ6WzPZIHZq9SO1u8nfGeetYz1dXPxU9yrrFrt2b7Hb1ODDTZuwoNc6a5_3kKUMpLzMgZJADjT6tQ%3D%3D&xkcb=SoDg67M3CTYkrRTRgh0AbzkdCdPP&fccid=ac39b59fcbd05c33&vjs=3
Data Engineer,Integer Consulting,Home office in Exterior,https://br.indeed.com/rc/clk?jk=89c4d23093f4249f&bb=NYUxvkHvN6wLyk20SsaWa-c2lHM4FexbM_pnipL9W986ZKunO5OypAUNnRAYE0M1MEj6FHNHoyu1C4md14uR3qgN-uT2QB7VC6TuRs1a4j-i15pxhyIdJw%3D%3D&xkcb=SoBu67M3CTYkrRTRgh0HbzkdCdPP&fccid=922da39ee62d217b&vjs=3
Analista de Desenvolvimento Backend,Stella Energia,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=81b3ea3d7fd5dc8f&bb=NYUxvkHvN6wLyk20SsaWa3tEBc9i69ddko-mNnVTp1lBdtqvLjI4tYriwCVlVgkGrFsrrsOI-yjhi1hx7o7nFwT7kQk6e_vU60L1231pK2nwKieIM-LQrw%3D%3D&xkcb=SoDa67M3CTYkrRTRgh0GbzkdCdPP&fccid=8e96f90b2e5c7435&vjs=3
Analista de BI - Curitiba/PR,Grupo Sipal,"Curitiba, PR",https://br.indeed.com/rc/clk?jk=67b8d0b792feeafc&bb=NYUxvkHvN6wLyk20SsaWa3gK7E4Ozx_ABIu1i2ThK1wZZivzscDXeU0OSfj-BftWnPmkTHFr3U-IOuR9gfc9k_mA3ewqUPI9xS6UjeT49JlwZ-7dXlQpBg%3D%3D&xkcb=SoBH67M3CTYkrRTRgh0FbzkdCdPP&fccid=4f60e11064bb97c9&vjs=3
Analista Neo4j Júnior/Pleno,Vertigo Tecnologia,,https://br.indeed.com/rc/clk?jk=7e6556b937b64140&bb=NYUxvkHvN6wLyk20SsaWa-wWWV1L8ViA0Cw-iZPRN7IS93aaSoulEXaaBmjxfHyJ58xE6gamoair8Sd8B4r-P35wR8wagjFIRvcn9PU6KglrKT1i1EAi6w%3D%3D&xkcb=SoDz67M3CTYkrRTRgh0EbzkdCdPP&fccid=d440598bc246c586&vjs=3
Analista Administrativo Vendas Jr,Sem Parar,"Home office in São Paulo, SP",https://br.indeed.com/rc/clk?jk=0aabb4f113714e6f&bb=gvT0UtpeHtaSkpZo2Es4oNHNnosx35CY8IYbs_rDbzPhUZQbJWl4XtlVTImEnLW3wdGUrOWELzvF1nCnvWOQC6zPnFNgTFzYZHcdg8yr4xYQpFnBwXAugg%3D%3D&xkcb=SoCr67M3CTYgTAWan50LbzkdCdPP&fccid=8f44489af94a6bff&vjs=3
Analista de Dados de Cartões,Lojas Quero-Quero | Sede Administrativa,"Cachoeirinha, RS",https://br.indeed.com/rc/clk?jk=86d173c320757577&bb=gvT0UtpeHtaSkpZo2Es4oBRj8YvyhAplyVDSfXDYsRpA5RZxUJVRIMT3b-0jFXEi5UZ14ITCLnI87M0piQ7lW9uxJQ9EzsMxuPDVt_F3tcTq__ioFfPXkw%3D%3D&xkcb=SoAf67M3CTYgTAWan50KbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Consultor de BI,Account Manager Jr,,https://br.indeed.com/rc/clk?jk=6a221e442461ec5f&bb=gvT0UtpeHtaSkpZo2Es4oANsB473d92wrlrWw8IOAEFXgQ62fs-B9lXkl80G7QlkneacCgfzCkHp8QTgLNCFAPugoOgCRD-8S9tpKRR0DKbMXgo4d9uScA%3D%3D&xkcb=SoCC67M3CTYgTAWan50JbzkdCdPP&fccid=53d12ccf3f235f26&vjs=3
Analista de dados - foco em concessão de crédito,Netvagas,,https://br.indeed.com/rc/clk?jk=2a64dcbe841f6ed4&bb=gvT0UtpeHtaSkpZo2Es4oN-w_XWu4ePxU2OUZlmqNt23kxFBOSmjOy2auQIMWboGcERqN7vu5AQkmioFBm7aBnxh1kFKAqhYWqcwYpjPML98BqxokTzNxA%3D%3D&xkcb=SoA267M3CTYgTAWan50IbzkdCdPP&fccid=248e71f02a698bfc&vjs=3
Especialista em RPA (Automação de Processos),Aoop Cloud Solutions,,https://br.indeed.com/rc/clk?jk=731bee5c804e3767&bb=gvT0UtpeHtaSkpZo2Es4oK36JRTsNv_rLtvEwCmWXTK9NIDjU5Th2F4SrIv_MvHF5-jn-EqFaFPvYU-aXvCWGcYblm1MnqHdBTgxzkZHDIZmlFKId5aU1Q%3D%3D&xkcb=SoC467M3CTYgTAWan50PbzkdCdPP&fccid=2247967a281c1e0f&vjs=3
Estagiário de ti | grupo telles,Netvagas,"Fortaleza, AP",https://br.indeed.com/rc/clk?jk=f8865f2dfeb72fc1&bb=gvT0UtpeHtaSkpZo2Es4oGrpRCN7W9b7UcUY0nmPRCECw-66LxWrmXrabxMnUnO6KxitBGLQpS1bt-9R21R-BrO-Rdn7YAGs-DNKxyW7TMZqYg9eb4KBXg%3D%3D&xkcb=SoAM67M3CTYgTAWan50ObzkdCdPP&fccid=248e71f02a698bfc&vjs=3
QA Engineer,Fusemachines,,https://br.indeed.com/rc/clk?jk=efc4023563cfadab&bb=gvT0UtpeHtaSkpZo2Es4oNK1bccHmEjg2LWryLljL-Z-vBPlQujREQ0iB7Hl9zrUPcHbGVZsquZ0dnFP3mQXDCao-wobxhveiL1qBUD6-cI%3D&xkcb=SoCR67M3CTYgTAWan50NbzkdCdPP&fccid=b711a2a28448b767&vjs=3
Pontotel - Analista de Infraestrutura - (Remoto),Pontotel,,https://br.indeed.com/rc/clk?jk=2cd7ffb4e14477da&bb=gvT0UtpeHtaSkpZo2Es4oN-w_XWu4ePxNUoDiBe7WX4yMeOZPyaTJZEThGTKufYFKDg5EKnPRVTIL4MQlJFpKYxh15otASRcl0ItevmtqNN3xcS4AipEBw%3D%3D&xkcb=SoAl67M3CTYgTAWan50MbzkdCdPP&fccid=d713310ada3b2a7f&vjs=3
WEG Desenvolvimento WEB para gerenciamento de laboratório de ensaios em motores elétricos,IEL,"Jaraguá do Sul, SC",https://br.indeed.com/rc/clk?jk=dfa75a336fad2ca7&bb=gvT0UtpeHtaSkpZo2Es4oKRi1eeuXywBXcg3CMJfdCLgTedGp7gbfXt2ovporpt_xri5UTk8AZ4G2O5jsbEzr03x7mSGHFh7h9lO0e-iUMgGP013Yve2jg%3D%3D&xkcb=SoDM67M3CTYgTAWan50DbzkdCdPP&fccid=1cbca0579d4bc836&vjs=3
Especialista Custos e Orçamento,BP - A Beneficência Portuguesa de São Paulo,,https://br.indeed.com/rc/clk?jk=ac700ec16cca5d38&bb=gvT0UtpeHtaSkpZo2Es4oFN1HUuQE0ibEFzr8cO_QPFRktKuNPW2xQDNmJ5WbpnRQq-a8XrCOVvqpI1qkIwKLUObC0OZ-tdKnmFeBHylafPN-JeBKVKIMA%3D%3D&xkcb=SoB467M3CTYgTAWan50CbzkdCdPP&fccid=33257050792c5f2f&vjs=3
Python Engineer (Scrapper) - Remote Work,BairesDev,"Home office in Santo André, SP",https://br.indeed.com/rc/clk?jk=afdc8168efb86e08&bb=gvT0UtpeHtaSkpZo2Es4oIukV45l0IbullWT0bQqZb5FQEXkTHpJchINTkaeDDGQyRK-3WPg4Ucxsw3KwJUxEpOcHBWcePntEAN38ZRGLZnIxRsBd2_I7w%3D%3D&xkcb=SoDl67M3CTYgTAWan50BbzkdCdPP&fccid=29707109e86166e5&vjs=3
PDI SW - Tester de Software / QA I,Inatel,"Santa Rita do Sapucaí, MG",https://br.indeed.com/rc/clk?jk=ee005a67b595654f&bb=gvT0UtpeHtaSkpZo2Es4oOR26Scz4ZfLeR42dryzJEe6ywaI4rg4gP4Z6mML8au-pqi5qDXiYJX4NIudphn6BOOeIaD9SR1-nMZlIAr8rIMInLQDuioP-w%3D%3D&xkcb=SoBR67M3CTYgTAWan50AbzkdCdPP&fccid=e882508866729b87&vjs=3
MLOps Engineer,MOST Specialist Technologies,"Home office in Belo Horizonte, MG",https://br.indeed.com/rc/clk?jk=76281e6e5f1d7ed2&bb=gvT0UtpeHtaSkpZo2Es4oBLVH-dyW2uoRFC5zAvEs82X23giFuSdGTjk6PwuUUNzhhrYcPIQtTsiE07TXC47dzdBoAIn6mA40-l4vnPTSztuwe4VaTjAWQ%3D%3D&xkcb=SoDf67M3CTYgTAWan50HbzkdCdPP&fccid=164a79a2d47e57e3&vjs=3
Professor(a) do Ensino Médio,Senac RS,"São Leopoldo, RS",https://br.indeed.com/rc/clk?jk=acd33c4a1af4ab77&bb=gvT0UtpeHtaSkpZo2Es4oNwAe-_Jnv_Oii3JE8eDvDLSWg3TEX_cVv-aJ3UhRcRfrHFnINUePyP5KVl76MLz7EaxzC_JoUJoN6Yy-uwM2dWomwMY4W0tcw%3D%3D&xkcb=SoBr67M3CTYgTAWan50GbzkdCdPP&fccid=687b0af727c70226&vjs=3
Software Engineering II-Azure Data,Microsoft,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=ef1be582830145f1&bb=gvT0UtpeHtaSkpZo2Es4oPzx2uA9pDn09q6g76ND0XpylOhS1mXREHksD9tb7D4y_f2O7cQc_3nJJ0RejabxALyVMOSWNwhghncrZAif0Co%3D&xkcb=SoD267M3CTYgTAWan50FbzkdCdPP&fccid=734cb5a01ee60f80&vjs=3
Estágio em Dados ou Modelagem,Quod,"Remoto híbrido in Barueri, SP",https://br.indeed.com/rc/clk?jk=152bbd382e0925f0&bb=fKZ4ST6tQUcfdkccO1gSnAzoxbbh68SSPjH9fIUyQrYqbxRL9GYkOynvZ3A5Lyybwh6wkiPvw0dHboB1Gq2-qbUV0LrxZFjGDSSuoXukBSpwKqNEkvnNNg%3D%3D&xkcb=SoDh67M3CTYgNqQjtB0LbzkdCdPP&fccid=c27e202ff27e56c9&vjs=3
Estagiário de ti | grupo telles,Netvagas,"Fortaleza, AP",https://br.indeed.com/rc/clk?jk=f8865f2dfeb72fc1&bb=fKZ4ST6tQUcfdkccO1gSnNh3BKd0vxzx6t9XWCBwIcrnk3F2elZxXteGbrL7XeHksdx8fc8KXOig5l7ykgwc5qHBqe8Ot1rEZVnHfBPuX4fPanY1ZLexEg%3D%3D&xkcb=SoBV67M3CTYgNqQjtB0KbzkdCdPP&fccid=248e71f02a698bfc&vjs=3
Estagiário Químico,REFERENCE,"Osasco, SP",https://br.indeed.com/rc/clk?jk=f395a93400be927e&bb=fKZ4ST6tQUcfdkccO1gSnGnqVa0591685NKqEX1yKHjq7oAtkiH3CjwyX3I1p56QfM-93lb1LDwQeZSJJEYTjJ6HFKJ9xEoTwwVAzQTYNxCJ1_53fv-NuA%3D%3D&xkcb=SoDI67M3CTYgNqQjtB0JbzkdCdPP&fccid=a1dd10c2d24311cd&vjs=3
P&D | Especialista em IA,XMobots,"São Carlos, SP",https://br.indeed.com/rc/clk?jk=dddfd6d508da9bca&bb=fKZ4ST6tQUcfdkccO1gSnFdKEgZF96swJ71ktSt2s69Mj2kbSy12KvyHiPEcYi2PxU-QO-FqKaxedMtRn91Z1pk6OSZx7HCyOXe1Wt05T6cgXQc-XmbE-g%3D%3D&xkcb=SoB867M3CTYgNqQjtB0IbzkdCdPP&fccid=1782263f00f2e80a&vjs=3
Especialista custos e orçamento,Netvagas,,https://br.indeed.com/rc/clk?jk=85eccc9cf4af6f1f&bb=fKZ4ST6tQUcfdkccO1gSnNXSLNax6ngduFveNUuCGPg70nKkY93kFjF6NSzbK3paOQwvEbjcbfUSvpAvaMCM364HIwu40EuJGPhyo8n7RZxYv7PSoCzAyw%3D%3D&xkcb=SoDy67M3CTYgNqQjtB0PbzkdCdPP&fccid=248e71f02a698bfc&vjs=3
